nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia,tercera_columna
"Suavizante concentrado hipoalergénico Essential Carrefour 1,5 l.",2.65,1.77,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/l,
Esmalte de uñas 60 seconds nº 210 Rimmel 1 ud.,2.65,2.65,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Aceitunas verdes rellenas de anchoa La Española 130 g.,2.65,20.38,la despensa,aperitivos,Aperitivos,€/kg,
Esmalte de uñas 60 Seconds Super Shine nº 740 Clear  Rimmel London 1 ud.,2.65,2.65,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Vega Madroño 2022,2.65,2.65,bebidas,vinos,Bodega,€/ud,
Vega Madroño Rosado 2022,2.65,2.65,bebidas,vinos,Bodega,€/ud,
Esmalte de uñas 60 Seconds Super Shine nº 320 Rapid Ruby Rimmel London 1 ud.,2.65,2.65,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Barritas de miel para hamster Vitakraft 2 ud.,2.65,1.32,mascotas,conejos y roedores,Mascotas,€/ud,
Laca de uñas 60 seconds nº 708 Rimmel 1 ud.,2.65,2.65,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Galletas  sin azúcar añadido Mini Prehistóricos 400 g.,2.65,6.62,la despensa,desayuno,Cereales y galletas,€/kg,
Naranja selecta bandeja 1 kg,2.65,2.65,productos frescos,frutas,Fruta y verdura,€/kg,
Esmalte de uñas 60 Seconds Super Shine nº 315 Queen of Tarts Rimmel London 1 ud.,2.65,2.65,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Crema de calabacín Carrefour Bio 485 ml,2.65,5.3,productos frescos,platos preparados cocinados,Pizzas y platos preparados,€/l,
Chocolate negro 70% especial postres Nestlé sin gluten 170 g.,2.65,15.59,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Barrita de gominola sabor cereza y cola con cafeína y l-taurina 226ERS sin gluten 30 g.,2.65,88.33,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Sobrasada picante de Mallorca El Zagal sin gluten y sin lactosa 200 g,2.65,13.25,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Ensalada de pasta Bon Appétit Carrefour 250 g.,2.65,10.6,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Kétchup chili Heinz envase 255 g.,2.65,10.39,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Chili con carne Sensation Carrefour sin gluten 418 g.,2.65,6.34,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Leche fermentada estilo griego natural azucarado Kaiku sin lactosa pack de 4 unidades de 90 g.,2.65,7.36,la despensa,yogures y postres,Postres y yogures,€/kg,
Pistacho natural sin cáscara Carrefour Original doy pack 100 g.,2.65,26.5,la despensa,aperitivos,Aperitivos,€/kg,
Queso azul IGP Valdeon De Nuestra Tierra cuña 100 g.,2.65,26.5,productos frescos,quesos,Charcutería y quesos,€/kg,
Maquinillas desechables Action 3 Bic 4 ud.,2.65,0.66,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,€/ud,
Mayonesa sin azúcar Musa sin gluten envase 430 ml.,2.65,6.16,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Galletas de cereales con leche Belvita Fontaneda 300 g.,2.65,8.83,la despensa,desayuno,Cereales y galletas,€/kg,
Conos con helado de limón lima Carrefour Extra 6 ud,2.65,0.44,congelados,helados,Congelados,€/ud,
Braky Pilots Pollo y Malta 110 grs,2.65,24.09,mascotas,gatos,Mascotas,€/kg,
Compango Asturiano El Chico 250 g,2.65,10.6,productos frescos,carniceria,Carne,€/kg,
Pilots Salmon Braky 110gr para Gato,2.65,24.09,mascotas,gatos,Mascotas,€/kg,
Crema de calabaza ecológica Carrefour 500 ml,2.65,5.46,productos frescos,platos preparados cocinados,Pizzas y platos preparados,€/l,
Anchoas en aceite de oliva Carrefour 55 g.,2.65,48.18,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
"Lejía hogar con detergente frescor limón Estrella 1,43 l.",2.65,1.85,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/l,
Leche fermentada estilo griego de stracciatella Kaiku sin gluten sin lactosa pack de 4 unidades de 90 g.,2.65,7.36,la despensa,yogures y postres,Postres y yogures,€/kg,
Pimentón agridulce de La Vera De Nuestra Tierra 70 g.,2.65,37.86,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Aceite de semillas postres Koipe 750 ml.,2.65,,la despensa,alimentacion,"Salsas, pasta y refrescos",No especificado,
Queso rallado Pecorino Romano DOP Galbani 60 g.,2.65,44.17,productos frescos,quesos,Charcutería y quesos,€/kg,
Alubia frijol La Cochura 1 kg.,2.65,2.65,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Esmalte de uñas 60 Seconds Super Shine nº 430 Coralicious Rimmel London 1 ud.,2.65,2.65,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Postre de soja sabor chocolate negro Alpro sin gluten sin lactosa pack de 4 unidades de 125 g.,2.65,5.3,la despensa,yogures y postres,Postres y yogures,€/kg,
Helado de chocolate con pepitas chocolate belga Sensation Carrefour sin gluten 500 ml.,2.65,8.83,congelados,helados,Congelados,€/kg,
Lasaña de espinacas Carrefour 500 g.,2.65,5.3,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Helado de tarta de queso con fresa Sensation Carrefour 300 g.,2.65,8.83,congelados,helados,Congelados,€/kg,
Masa redonda Brisa Buitoni 230 g.,2.65,11.52,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Crema de verduras ecológica Carrefour Bio 485 ml,2.65,5.3,productos frescos,platos preparados cocinados,Pizzas y platos preparados,€/l,
Helado de menta y chocolate Carrefour Sensation sin gluten 300 g.,2.65,8.83,congelados,helados,Congelados,€/kg,
Agua de coco 100% natural ecológico Carrefour Bio brik 1 l.,2.65,2.65,bebidas,aguas y zumos,Agua y refrescos,€/l,
Helado de vainilla con nueces de macadamia Carrefour Sensation sin gluten 300 g.,2.65,8.83,congelados,helados,Congelados,€/kg,
"Lejía hogar con detergente frescor azul Estrella 1,43 l.",2.65,1.85,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/l,
Canelones de espinacas y queso Carrefour 500 g.,2.65,5.3,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Tarrito de hortalizas con ternera desde 6 meses ecológico Gerber sin gluten 190 g.,2.65,13.95,bebe,alimentacion infantil,Bebé,€/kg,
Guisantes con zanahorias ecológicos Carrefour Bio 215 g.,2.65,12.05,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Mejillones en escabeche Calvo 69 g.,2.65,38.41,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Sopa de pollo con Maravilla Gallina Blanca pack de 3 sobres de 85 g.,2.65,10.39,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Sopa de ternera con estrellitas Gallina Blanca pack de 3 sobres de 74 g.,2.65,11.94,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Esmalte de uñas 60 segundos 722 all nails on deck Rimmel London 1 ud.,2.65,2.65,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Chocolate negro 92% sin azúcar añadido Valor sin gluten 100 g.,2.65,26.5,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Nuez bañada en chocolate con leche Extra Carrefour sin gluten doy pack 150 g.,2.65,17.67,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Garbanzo lechoso categoría extra Carrefour 1 kg.,2.65,2.65,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Salchichas de queso Oscar Mayers Jumbo sin gluten 350 g.,2.65,7.57,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Salchichas Jumbo de pollo Oscar Mayer sin gluten sin lactosa 350 g.,2.65,7.57,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Alga Wakame deshidratada troceada Trevijano 50 g,2.65,53.0,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Guantes Reutilizables Vinilo SPONTEX Sensitive Talla 8,2.65,2.65,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Hogaza de pan integral tostado Recondo 240 g.,2.65,11.04,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Paleta Asada al horno en lonchas Noel Delizias sin gluten y sin lactosa 150 g,2.65,17.67,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Jalapeños Sensation Carrefour 160 g.,2.65,16.56,la despensa,aperitivos,Aperitivos,€/kg,
Popettes hyperpop Donettes 100 g.,2.65,26.5,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Palomitas al punto de sal para microondas Popitas sin gluten y sin aceite de palma pack 3 unidades de 90 g.,2.65,9.81,la despensa,aperitivos,Aperitivos,€/kg,
Aceitunas manzanilla rellenas vermut de Jerez Jolca sin gluten  150 g.,2.65,17.67,la despensa,aperitivos,Aperitivos,€/kg,
Kéfir desnatado natural sin azúcar añadido Pastoret sin gluten 500 g.,2.65,5.3,la despensa,yogures y postres,Postres y yogures,€/kg,
"N?CT S/AZ NJA DISF. DSIMON 1,5",2.65,1.77,bebidas,aguas y zumos,Zumos,€/l,
Sopa de cocido Gallina Blanca pack de 3 sobres de 72 g.,2.65,12.27,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Bebida de soja y guisantes Dinamic Protein Pascual 1 l.,2.65,,la despensa,lacteos,leche y mantequilla,No especificado,
Leche fermentada de proteínas líquida desnatada sabor stracciatella Danone Yopro sin lactosa y sin azúcar añadido 300 g.,2.65,8.83,la despensa,yogures y postres,Postres y yogures,€/kg,
"Chicles de hierbabuena Trident pack de 5 unidades de 13,5 g.",2.65,203.85,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Leche evaporada para cocinar -40% grasas Ideal Nestlé pack de 2 briks de 210 g.,2.65,,la despensa,lacteos,leche y mantequilla,No especificado,
Salchichas cocidas Jumbo Classic Oscar Mayer sin gluten sin lactosa 350 g.,2.65,7.57,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Barrita proteina bar cookie Enervit 55 g,2.65,48.18,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Fuet extra en lonchas Calidad y Origen Carrefour 100 g,2.65,26.5,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Salchichas Jumbo de queso con bacon Oscar Mayer sin gluten 335 g.,2.65,7.91,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Chocolate negro Potres Nestlé sin gluten 200 g.,2.65,13.25,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Café frappuccino cookies & cream Starbucks 250 ml,2.65,10.6,la despensa,lacteos,leche y mantequilla,€/l,
Mandarina Círculo de Calidad malla 1 kg,2.65,2.65,productos frescos,frutas,Fruta y verdura,€/kg,
Barrita de gominola a base de Pectina con electrolitos sabor lima 226ERS 30 g.,2.65,88.33,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Oreja guisada lata Rogusa 425 g.,2.65,6.24,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Esmalte de uñas 60 Seconds Super Shine nº 714 A Spritzzz Rimmel London 1 ud.,2.65,2.65,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Coco rallado Vahiné 100 g.,2.65,23.04,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Preparado de soja sabor arándanos y frutos rojos Alpro sin gluten sin lactosa pack de 4 unidades de 125 g.,2.65,5.3,la despensa,yogures y postres,Postres y yogures,€/kg,
Curry ecológico Carrefour Bio 30 g.,2.65,88.33,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Salchichas Jumbo de pavo Oscar Mayer sin gluten sin lactosa 350 g.,2.65,7.57,productos frescos,charcuteria,Charcutería y quesos,€/kg,
"Fusilli de garbanzos ecológicos Carrefour Bio sin gluten 250 g,",2.65,10.6,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Café frappuccino vainilla Starbucks 250 ml,2.65,10.6,la despensa,lacteos,leche y mantequilla,€/l,
Preparado de soja sabor melocotón y piña-maracuyá Alpro sin gluten sin lactosa pack de 4 unidades de 125 g.,2.65,5.3,la despensa,yogures y postres,Postres y yogures,€/kg,
Set 50 Platos de Cartón 18 cm CARREFOUR HOME,2.65,0.05,limpieza y hogar,menaje,Limpieza y hogar,€/ud,
Leche condensada Carrefour 450 g.,2.65,5.89,la despensa,lacteos,leche y mantequilla,€/kg,
Lasaña boloñesa Carrefour Extra 350 g.,2.65,7.57,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Espinacas en hojas ultracongelada Findus 400 g.,2.65,6.62,congelados,verduras congeladas,Congelados,€/kg,
Café frappuccino Starbucks 250 ml,2.65,10.6,la despensa,lacteos,leche y mantequilla,€/l,
Flan de vainilla con caramelo Nestlé La Lechera pack de 6 unidades de 100 g.,2.65,4.42,la despensa,yogures y postres,Postres y yogures,€/kg,
Bollito recubierto de chocolate clasicos Donettes 8 ud.,2.65,17.43,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Barritas de avena y miel Crunchy Nature Valley sin lactosa pack de 5 unidades de 42 g.,2.65,12.62,la despensa,desayuno,Cereales y galletas,€/kg,
Barritas de avena y chocolate negro Crunchy Nature Valley sin lactosa pack de 5 unidades de 42 g.,2.65,12.62,la despensa,desayuno,Cereales y galletas,€/kg,
Melocotón en tiras en almíbar ligero Classic Carrefour pack de 3 unidades de 140 g.,2.65,6.31,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Zumo Mediterráneo Original Bifrutas pack de 6 briks de 20 cl.,2.65,2.21,bebidas,aguas y zumos,Zumos,€/l,
Hogaza de pan 9 cereales y semillas Recondo 240 g.,2.65,11.04,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Ajo en polvo Carmencita sin gluten 60 g.,2.65,44.17,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Plum cake de chocolate Classic' Carrefour 400 g.,2.65,6.62,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Bebida de proteína sabor choco y avena sin azúcar añadido Kaiku sin gluten sin lactosa 330 ml.,2.65,8.03,la despensa,yogures y postres,Postres y yogures,€/l,
Plum cake mármol Classic' Carrefour 400 g.,2.65,6.62,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Queso rallado Proteína Plus Sensation Carrefour sin gluten 150 g.,2.65,17.67,productos frescos,quesos,Charcutería y quesos,€/kg,
Salchichas de jalapeño y cheddar Oscar Mayer Jumbo sin gluten 335 g.,2.65,7.91,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Alas de Pollo Carrefour 500 g aprox,2.64,5.29,productos frescos,carniceria,Carne,€/kg,
Classic´ bebida Energética pack 6 latas 25 cl.,2.64,1.76,bebidas,refrescos,Agua y refrescos,€/l,
Costilla de palo cerdo Duroc Círculo de Calidad Carrefour 225 g aprox,2.64,11.75,productos frescos,carniceria,Carne,€/kg,
Alas Partidas de Pollo Carrefour El Mercado 500 g aprox,2.64,5.29,productos frescos,carniceria,Carne,€/kg,
"Calabaza ecológica a granel Carrefour Bio 1,5 kg aprox",2.62,1.75,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Careta de cerdo entera ElPozo 470 g aprox,2.61,5.56,productos frescos,carniceria,Carne,€/kg,
Leche fermentada líquida de fresa sin azúcar añadido Carrefour Actuacol sin gluten pack de 8 unidades de 100 g.,2.6,3.25,la despensa,yogures y postres,Postres y yogures,€/kg,
Mermelada de melocotón Temporada Hero sin gluten 350 g.,2.6,7.43,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Mermelada de cerezas Temporada Hero sin gluten 350 g.,2.6,7.43,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Mermelada de higos Temporada Hero sin gluten 350 g.,2.6,7.43,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Mermelada de arándanos Temporada Hero sin gluten 350 g.,2.6,7.43,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Leche fermentada líquida tropical sin azúcar añadido Carrefour Actuacol sin gluten pack de 8 unidades de 100 g.,2.6,3.25,la despensa,yogures y postres,Postres y yogures,€/kg,
Clara de huevo pasteurizada Carrefour Classic' 1 l.,2.6,2.6,la despensa,huevos,Huevos,€/l,
Mermelada de fresa Temporada Hero sin gluten 350 g.,2.6,7.43,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Mermelada de mango Temporada Hero sin gluten 350 g.,2.6,7.43,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Kétchup Classic Carrefour envase 1 kg.,2.59,2.59,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Limpiador multisuperficies desinfectante sin lejía Sanicentro 750 ml.,2.59,3.45,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/l,
Trigo inflado integral con miel Esgir 375 g.,2.59,6.91,la despensa,desayuno,Cereales y galletas,€/kg,
Yogur liquido desnatado pro+ sabor fresa sin azúcar añadido Lindahls sin gluten y sin lactosa 344 g.,2.59,7.53,la despensa,yogures y postres,Postres y yogures,€/kg,
Bebida de avellanas Alpro sin gluten y sin lactosa brik 1 l.,2.59,2.59,la despensa,lacteos,leche y mantequilla,€/l,
"Vino rosado Peñascal 0,0 alcohol 25 cl.",2.59,,bebidas,vinos,Bodega,No especificado,
Salsa curry Carrefour envase 350 g.,2.59,7.4,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Queso en lonchas Proteína Plus Carrefour Sensation 150 g.,2.59,17.27,productos frescos,quesos,Charcutería y quesos,€/kg,
Galletas de cereales con gotas de chocolate Belvita Fontaneda 300 g.,2.59,8.63,la despensa,desayuno,Cereales y galletas,€/kg,
Snacks de cereales con frambuesa desde 8 meses ecológico Gerber sin azúcar añadido 35 g.,2.59,74.0,bebe,alimentacion infantil,Bebé,€/kg,
Batido de proteína sabor fresa y vainilla sin azúcar añadido Kaiku sin gluten sin lactosa 330 ml.,2.59,7.85,la despensa,yogures y postres,Postres y yogures,€/l,
Arroz thaï Sensation Carrefour 1 kg.,2.59,2.59,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Galletas de chocolate rellenas de crema sin azúcar añadido Carrefour 176 g.,2.59,14.72,la despensa,desayuno,Cereales y galletas,€/kg,
Toallitas desinfectantes multiusos sin lejía Sanytol 30 ud.,2.59,0.09,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/ud,
Carrefour Comida para Tórtolas 1Kg,2.59,2.59,mascotas,pajaros,Mascotas,€/kg,
Taquitos de Jamón Serrano Sánchez Alcaraz sin gluten y sin lactosa 2x75 g,2.59,17.27,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Bizcocho con chocolate Milka 132 g.,2.59,19.62,la despensa,desayuno,Cereales y galletas,€/kg,
Palo Telescópico de Acero CARREFOUR 150 cm,2.59,2.59,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Queso fundido en lonchas El Caserío sin lactosa 185 g.,2.59,14.0,productos frescos,quesos,Charcutería y quesos,€/kg,
Pan tostado con sésamo Wasa 200 g.,2.59,12.95,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Cepillo para Limpieza de Rincones ROZENBAL  - Azul,2.59,2.59,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Chocolate blanco de coco y almendra Raffaello Ferrero 90 g.,2.59,28.78,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
