nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia,tercera_columna
Snack crema de leche para gatos pequeños Vitakraft 70 g,1.99,28.43,mascotas,gatos,Mascotas,€/kg,
Bebida de Centeno Vivesoy 1 l.,1.99,,la despensa,lacteos,leche y mantequilla,No especificado,
"Lavavajillas a mano ultra concentrado power clean Expert Carrefour 1,3 l.",1.99,1.53,limpieza y hogar,productos para cocina,Limpieza y hogar,€/l,
Pincel Nº 6-10-14 Carrefour 3 uds,1.99,1.99,limpieza y hogar,papeleria,papeleria,€/ud,
Vino D.O. Valdepeñas tinto reserva Viña Lobón 75 cl.,1.99,1.99,bebidas,vinos,Bodega,€/ud,
Poleo menta en bolsitas Hornimans 25 ud.,1.99,56.86,la despensa,desayuno,Cereales y galletas,€/kg,
Galletas de avena con chocolate negro ecológicas Carrefour Bio 200 g.,1.99,9.95,la despensa,desayuno,Cereales y galletas,€/kg,
Vela perfumada frutos del bosque Aromatium 18 ud.,1.99,0.11,limpieza y hogar,ambientadores,Limpieza y hogar,€/ud,
"Palo Antideslizante de Acero CARREFOUR 2,2x2,2x140 cm",1.99,1.99,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Snacks de pollo y pato para gatos Catisfactions 60 g.,1.99,33.17,mascotas,gatos,Mascotas,€/kg,
Plumero Fluffy MCOLORS,1.99,1.99,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Tila en bolsitas Hornimans 25 ud.,1.99,66.33,la despensa,desayuno,Cereales y galletas,€/kg,
Untable de piña Bebé sin azúcar añadido 230 g.,1.99,,la despensa,dulce,"Azúcar, caramelos y chocolate",No especificado,
Berros Carrefour 125 g,1.99,15.92,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Frasa para untar 0% azúcar añadido Bebé 230 g.,1.99,,la despensa,dulce,"Azúcar, caramelos y chocolate",No especificado,
Chorizo en lonchas Carrefour Classic' sin gluten sin lactosa 80 g.,1.99,24.87,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Comino molido ecológico Artemis Bio 30 g.,1.99,66.33,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Caña de Pescar para Gato Vitakraft con Ratón,1.99,1.99,mascotas,gatos,Mascotas,€/ud,
Galletas de agua Carr's 125 g.,1.99,15.92,la despensa,desayuno,Cereales y galletas,€/kg,
Gelatina selección de carnes para gatos Felix Original Purina 4x85 g,1.99,5.85,mascotas,gatos,Mascotas,€/kg,
Barrita de chocolate con leche alta en proteínas Corny sin azúcar añadido 50 g.,1.99,39.8,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Gel de ducha hidratante 10 % urea piel seca Carrefour Soft 500 ml.,1.99,0.401,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Gelatina selección de pescado para gatos Felix Original Purina 4x85 g,1.99,5.85,mascotas,gatos,Mascotas,€/kg,
Tomate rama ecológico Carrefour Bio 500 g,1.99,3.98,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Galletas caramelizadas Lotus Biscoff 250 g.,1.99,7.96,la despensa,desayuno,Cereales y galletas,€/kg,
Melocotón para untar 0% azúcar añadido Bebé 230 g.,1.99,,la despensa,dulce,"Azúcar, caramelos y chocolate",No especificado,
Pañuelos 4 capas sensitive Carrefour 80 us.,1.99,0.02,limpieza y hogar,papel y celulosa,Limpieza y hogar,€/ud,
"Soda Geiser sifón 1,5 l.",1.99,1.33,bebidas,refrescos,Agua y refrescos,€/l,
Bebida láctea a base de leche desnatada con Omega 3 Flora sin gluten brik 1 l.,1.99,1.99,la despensa,lacteos,leche y mantequilla,€/l,
