nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia
Mini burger chicken style Sensation Carrefour sin gluten 4 ud.,3.39,16.95,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Tampones sin aplicador normal ecológicos Carrefour Soft Pure 24 ud.,3.39,0.14,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Duo Salvauñas SPONTES Frotamax Verde,3.39,1.69,limpieza y hogar,utensilios de limpieza,"Aceite, especias y salsas",UNIDAD
Mini Magdalenas Rellenas de Doble Chocolate 350 g,3.39,9.69,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
Queso feta Extra Carrefour 200 g.,3.39,16.95,productos frescos,quesos,Charcutería y quesos,KILO
Pincho Moruno de Cerdo Amarillo Carrefour El Mercado 340 g,3.39,9.97,productos frescos,carniceria,Carne,KILO
Conchas originales Codan 10 ud.,3.39,6.16,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Set 2 Bayetas Suave VILEDA Ultra Fresh,3.39,1.69,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD
Chocolate negro 85% Lindt Excellence 100 g.,3.39,33.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Magnesio sabor naranja limón en comprimidos efervescentes H4U 20 ud.,3.39,4.241,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR
Chocolate negro intenso con naranja Lindt Excellence 100 g.,3.39,33.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Salsa Korma Patak sin gluten 450 g.,3.39,7.53,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Chocolate negro intenso con limón Lindt Excellence 100 g.,3.39,33.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Kéfir de cabra ecológico Carrefour Bio 420 g.,3.39,8.07,la despensa,yogures y postres,Postres y yogures,KILO
Palmeras de hojaldre al cacao Carrefour Classic' 12 ud.,3.39,11.3,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Pinza grande Ponette 1 ud.,3.39,3.39,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Chocolate negro 78% Lindt Excellence 100 g.,3.39,33.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Crema de untar vegana Vegetal Philadelphia 145 g.,3.39,23.38,productos frescos,quesos,Charcutería y quesos,KILO
Pan de molde sin corteza Natural 100% Bimbo 450 g.,3.39,7.53,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Quitaesmalte sin acetona Cutex 100 ml.,3.39,3.391,perfumeria e higiene,cosmetica,Cuidado facial y corporal,100 ML
Vinagre de sidra De Nuestra Tierra 250 ml.,3.39,13.56,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Chocolate negro con sésamo tostado Lindt Excellence 100 g.,3.39,33.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Chocolate negro con caramelo y toque de sal Lindt Excellence 100 g.,3.39,33.9,la despensa,dulce,"Aceite, especias y salsas",KILO
Chocolate negro con menta Lindt Excellence 100 g.,3.39,33.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Pistachos tostados y salados ecológicos Carrefour Bio 125 g.,3.39,27.12,la despensa,aperitivos,"Aceite, especias y salsas",KILO
Tampones con aplicador normal Carrefour 20 ud.,3.39,0.17,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Arroz 3 delicias Carretilla sin gluten sin aceite de palma 250 g.,3.39,13.56,la despensa,conservas sopas y precocinados,"Arroz, legumbres y pasta",KILO
Queso ricotta Galbani 250 g.,3.39,13.56,productos frescos,quesos,Charcutería y quesos,KILO
Salsa sriracha mayo hot chilli Go-Tan envase 215 ml.,3.39,15.77,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Mortadela con aceitunas Carrefour 800 g.,3.39,4.24,productos frescos,charcuteria,Charcutería y quesos,KILO
Salsa sabor bacon Baconesa Familia Suárez sin gluten tarro 135 g.,3.39,25.11,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Limpiador limón en crema Cif 750 ml.,3.39,4.52,limpieza y hogar,productos para toda la casa,Limpieza y hogar,LITRO
Chipirones rellenos al ajillo Dani 96 g.,3.39,35.31,la despensa,conservas sopas y precocinados,Bodega,KILO
Gel de ducha Classic Original Magno 550 ml.,3.39,0.621,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Barrina energénita sabor melocotón Gummy Power Just Loading pack de 3 unidades de 30 g.,3.39,113.0,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Gel de ducha Marine Magno 550 ml.,3.39,0.621,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Queso fresco natural Campolindo 500 g.,3.39,6.78,productos frescos,quesos,Charcutería y quesos,KILO
Rollitos de primavera Maheso 225 g.,3.39,15.07,congelados,rebozados y platos preparados,Pizzas y platos preparados,KILO
Chocolate negro con chilli Lindt Excellence 100 g.,3.39,33.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Papel higienico suave y grueso supreme confort Deco Carrefour 8 rollos,3.39,0.42,limpieza y hogar,papel y celulosa,Limpieza y hogar,UNIDAD
Tampones con aplicador super Carrefour 20 ud.,3.39,0.17,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Servilletas 2 Capas RENOVA Recycled 80 ud - Blanca,3.39,0.04,limpieza y hogar,papel y celulosa,Limpieza y hogar,UNIDAD
Chocolate negro suave con toque de sal Lindt Excellence 100 g.,3.39,33.9,la despensa,dulce,"Aceite, especias y salsas",KILO
"Bombones de avellana, almendra, trufa y chocolate negro Carrefour 470 g.",3.39,7.21,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Caramelos  Original Fisherman's Friends sin gluten y sin azúcar añadido pack de 2 unidades de 25 g.,3.39,67.8,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Aceite de maíz Asua Koipe 1 l.,3.39,3.39,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Cepillo dental interdental extrafino Phb 6 ud.,3.39,3.39,parafarmacia,higiene bucal,Cuidado facial y corporal,UNIDAD
Agua de colonia Classic Fresh S3 750 ml.,3.39,0.451,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Arepa de maíz blanco Goya 450 g.,3.39,7.53,congelados,rebozados y platos preparados,Pizzas y platos preparados,KILO
Salsa pesto alla genovese Barilla sin gluten tarro 190 g.,3.39,17.84,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Raviolis al huevo con carne Hero 430 g.,3.39,8.07,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Yogur griego natural Nestlé Yaos 850 g.,3.39,3.99,la despensa,yogures y postres,Postres y yogures,KILO
Desodorante en spray Extrem Frescor 96h Byly 200 ml.,3.39,1.691,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Salsa de Pedro Ximenez con pasas Salsas Asturianas sin gluten botella 330 g.,3.39,10.27,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Gel WC limpieza total océano Pato 750 ml.,3.39,4.52,limpieza y hogar,productos para bano,Cuidado facial y corporal,LITRO
"Limpiador desinfectante suelos y superficies Sanytol 1,2 l.",3.39,2.82,limpieza y hogar,productos para toda la casa,Limpieza y hogar,LITRO
Galletas avena choco ecológicas Digestive Gullón 270 g.,3.39,12.56,la despensa,desayuno,Cereales y galletas,KILO
Bolitas de chocolate con leche relleno cremoso Nestlé Extrafino Cremositos sin gluten 144 g.,3.39,23.54,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Mayonesa Heinz envase 400 ml.,3.39,8.47,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Gel WC limpieza total frescor Pato 750 ml.,3.39,4.52,limpieza y hogar,productos para bano,Cuidado facial y corporal,LITRO
Set de viaje Botellas rellenables de 3x100 ml + 50 ml. 1 ud.,3.39,3.39,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,UNIDAD
Limpiador multiusos blanco en crema Cif 750 ml.,3.39,4.52,limpieza y hogar,productos para toda la casa,Limpieza y hogar,LITRO
Chocolate con leche extra cremoso Lindt Excellence 100 g.,3.39,33.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Harina de maíz fina Maizena sin gluten 400 g.,3.39,8.47,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Leche desmaquillante Carrefour Soft 400 ml.,3.39,0.851,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Chocolate negro 70% Lindt Excellence 100 g.,3.39,33.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Bombón helado de chocolate Duo Choc Carrefour Sensation 4 ud.,3.39,0.85,congelados,helados,Congelados,UNIDAD
Helado de turrón y trocitos de almendra caramelizada Carrefour Sensation 350 g.,3.39,9.69,congelados,helados,Congelados,KILO
Chocolate a la taza original Paladín 340 g.,3.39,9.97,la despensa,desayuno,Cereales y galletas,KILO
Queso mozzarella Galbani 150 g.,3.39,22.6,productos frescos,quesos,Charcutería y quesos,KILO
Salsa pesto siciliana Barilla sin gluten 190 g.,3.39,17.84,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Yogur natural ecológico Pastoret 500 g.,3.39,6.78,la despensa,yogures y postres,Postres y yogures,KILO
Chocolate con leche extrafino Carrefour pack de 3 tabletas de 150 g.,3.39,7.53,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Albóndigas en salsa Hero  430 g.,3.39,7.88,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Yogur estilo griego de sirtaki de vainilla ecológico Casa Grande Xanceda sin gluten 400 g.,3.39,8.47,la despensa,yogures y postres,Postres y yogures,KILO
Bonito del norte en aceite de oliva Consorcio 82 g.,3.39,42.37,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Almendras tostadas sin sal añadida Frit Ravich sin gluten 110 g.,3.39,30.82,la despensa,aperitivos,"Aceite, especias y salsas",KILO
Patatas fritas sabor trufa negra Torres Selecta 125 g.,3.39,27.12,la despensa,aperitivos,Aperitivos,KILO
Comida húmeda sabor atún para gato adulto Purina Gourmet 4x57 g.,3.39,59.47,mascotas,gatos,Mascotas,KILO
Pan de leche La Bella Easo 10 ud.,3.39,9.69,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Gel de ducha flor de cereza NB Palmolive 600 ml.,3.39,0.571,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Queso fresco de cabra El Abuelo 300 g.,3.39,11.3,productos frescos,quesos,Charcutería y quesos,KILO
Cola de caballo y sen en bolsitas Adelgasana Susarón 20 ud.,3.39,130.38,la despensa,desayuno,"Cacao, café e infusiones",KILO
Infusión laxsana con sen y anís sabor ciruela en bolsitas Susarón 20 ud.,3.39,130.38,la despensa,desayuno,"Cacao, café e infusiones",KILO
Salchichón extra en lonchas Argal 145 g.,3.39,23.38,productos frescos,charcuteria,"Aceite, especias y salsas",KILO
Pan de molde con pipas de girasol y calabaza Oroweat 590 g.,3.39,5.75,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Gel de ducha sensible cuidado hidratante NB Palmolive 600 ml.,3.39,0.571,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Quitaesmalte suave Easy Pump Carrefour 200 ml.,3.39,1.691,perfumeria e higiene,cosmetica,Cuidado facial y corporal,100 ML
Lomo en lonchas Argal 100 g.,3.39,33.9,productos frescos,charcuteria,Charcutería y quesos,KILO
Mantecadas Vega Pas sin lactosa 600 g.,3.39,5.65,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Trufa rallada Extra Carrefour 30 g.,3.39,113.0,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Aceitunas verdes partidas aliñadas Exóticas La Española sin gluten 185 g.,3.39,18.32,la despensa,aperitivos,Aperitivos,KILO
Croissants La Bella Easo 13 ud.,3.39,8.69,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
Chocolate negro suave 70% Lindt Excellence 100 g.,3.39,33.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Comida húmeda sabor pollo para gato adulto Purina Gourmet 4x57 g.,3.39,59.47,mascotas,gatos,Mascotas,KILO
Cocktail de encurtidos Classic Carrefour 500 g.,3.39,6.78,la despensa,aperitivos,Aperitivos,KILO
Salvauñas VILEDA Ultrafresh 2 +1 - Verde,3.39,1.69,limpieza y hogar,utensilios de limpieza,"Aceite, especias y salsas",UNIDAD
"Cerveza Amstel 0,0 alcohol pack 6 botellas 25 cl.",3.39,2.26,bebidas,cerveza,Bodega,LITRO
Mejillones de Chile en escabeche Calvo pack de 3 latas de 40 g.,3.39,28.25,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Desodorante stick dermo protector 24h Sanex 65 ml.,3.39,5.221,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Menestra de verduras Carretilla sin gluten 300 g.,3.39,11.3,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Tinte para la ropa azul marino Iberia 1 ud.,3.39,3.39,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,UNIDAD
Pisto de verduras Carretilla sin gluten 300 g.,3.39,11.3,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Tinte para la ropa negro Iberia 1 ud.,3.39,3.39,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,UNIDAD
Crema de calabacín ecológica Carrefour Bio 500 ml.,3.39,6.78,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",LITRO
Patatas fritas con sabor a jamón Ruffles sin gluten 275 g.,3.39,12.33,la despensa,aperitivos,Aperitivos,KILO
Guisantes con jamón Carretilla sin gluten 300 g.,3.39,11.3,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Pistacho gigante tostado a granel 200 g aprox,3.38,16.9,la despensa,aperitivos,Aperitivos,KILO
Filetes de Pechuga Marinada de Pollo Carrefour 450 g aprox,3.37,7.49,productos frescos,carniceria,Carne,KILO
"Queso D.O.P. Nata de Cantabria De Nuestra Tierra cuña 1/8, 200 g",3.37,16.85,productos frescos,quesos,Charcutería y quesos,KILO
Chocolate dark Nestlé sin gluten 270 g.,3.35,12.41,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Membrillo en lonchas Santa Teresa sin gluten 150 g.,3.35,22.33,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Cocktail de frutos secos Mix 5 Classic MisterCorn Grefusa 300 g.,3.35,11.17,la despensa,aperitivos,Aperitivos,KILO
Lavavajillas a máquina en pastillas perfume limón Todo en uno Carrefour Expert 30 ud.,3.35,0.11,limpieza y hogar,productos para cocina,Limpieza y hogar,LAVADO
Espuma de afeitar para piel sensible Gillette 200 ml.,3.35,1.671,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,100 ML
Limpiador de baño con lejía aroma limón en gel WC Net 750 ml.,3.35,4.47,limpieza y hogar,productos para bano,Cuidado facial y corporal,LITRO
Harina integral de espelta ecológica Carrefour Bio 1 kg.,3.35,3.35,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Arroz de Valencia categoría extra De Nuestra Tierra 1 kg.,3.35,3.35,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Limpiador baño antical con vinagre ecológico Frosch 1 l.,3.35,3.35,limpieza y hogar,productos para bano,"Aceite, especias y salsas",LITRO
Queso havarti en lonchas ecológico Millán Vicente 125 g.,3.35,26.8,productos frescos,quesos,Charcutería y quesos,KILO
Cacahuete en polvo desgrasado Just Loading sin gluten doy pack 180 g.,3.35,18.61,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Ventresca de atún claro en aceite de oliva Carrefour 73 g.,3.35,45.89,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Espuma de afeitar clásica Gillette 200 ml.,3.35,1.671,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,100 ML
Queso de vaca decorado con paprika Castello 125 g,3.35,0.0,productos frescos,quesos,Charcutería y quesos,No especificado
Caramelo líquido Royal 400 g.,3.35,8.37,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Canela en rama Carmencita 5 ud.,3.35,186.11,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Salsa vegana Ybarra sin gluten y sin lactosa frasco 300 g.,3.35,0.0,la despensa,alimentacion,"Aceite, especias y salsas",No especificado
Queso feta ecológico Carrefour Bio 180 g.,3.35,18.61,productos frescos,quesos,Charcutería y quesos,KILO
Higos naturales ecológicos Your Karma Foods sin gluten doy pack 200 g.,3.35,16.75,la despensa,aperitivos,Aperitivos,KILO
Queso gouda Carrefour 400 g.,3.35,8.37,productos frescos,quesos,Charcutería y quesos,KILO
"Lejía Neutrex Futura 1,9 l.",3.35,1.76,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LITRO
Cacahuete cubierto de chocolate con leche Conguitos sin gluten doy pack 220 g.,3.35,15.23,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Extracto de coco Goya 400 g.,3.35,8.37,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
"Parches de ojos biodegradables antiarrugas, bolsas y ojeras con niacinamida, cafeína y péptidos Iroha Nature 2 ud.",3.35,3.35,perfumeria e higiene,cosmetica,Fitoterapia y parafarmacia,UNIDAD
Snacks de pollo para perro Quérico 5 unidades,3.35,0.67,mascotas,perros,Mascotas,UNIDAD
Chocolate negro 85% cacao Madagascar ecológico Ethiquable 100 g.,3.35,33.5,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Corazones de berenjenas de almagro De Nuestra Tierra sin gluten 350 g.,3.35,9.57,la despensa,aperitivos,Aperitivos,KILO
Papel de cocina resistente Jumbo Roll Carrefour 1 rollo.,3.35,3.35,limpieza y hogar,papel y celulosa,Limpieza y hogar,UNIDAD
Maquinillas desechables para hombre 4 hojas Carrefour Men 3 ud.,3.35,1.12,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,UNIDAD
Queso gouda en lonchas Arla 150 g.,3.35,22.33,productos frescos,quesos,Charcutería y quesos,KILO
Quitagrasas recambio KH-7 780 ml.,3.35,4.29,limpieza y hogar,productos para cocina,Limpieza y hogar,LITRO
Chocolate con leche y almendras con naranja Pancracio sin gluten 100 g.,3.35,33.5,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Ensalada pasta y atún 325 g,3.35,10.31,productos frescos,verduras y hortalizas,"Arroz, legumbres y pasta",KILO
Queso cabra lonchas García Baquero 125 g.,3.35,26.8,productos frescos,quesos,Charcutería y quesos,KILO
Mayonesa con mostaza de Dijon ecológica Carrefour Bio 238 g.,3.35,14.08,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Eyeliner Glitter Diamond Magic Studio 1 ud.,3.35,3.35,perfumeria e higiene,cosmetica,Cuidado facial y corporal,UNIDAD
Compresas para incontinencia de orina normal Absodys Discret Carrefour Soft 24 ud.,3.35,0.14,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Plumero Pluma Pavo VIGAR - Bicolor,3.35,3.35,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD
Barreño Cuadrado CARREFOUR 10 l. - Gris,3.35,3.35,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD
Mejillón en escabeche fritos Ramon Peña 76 g.,3.35,44.08,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Mantequilla ecológica Carrefour Bio 250 g.,3.35,13.4,la despensa,lacteos,"Huevos, leche y mantequilla",KILO
