Nombre,Precio,Precio_unit,Categoria,Subcategoria,categoria_principal,Unidad_medida,Marca
Pañales Carrefour Baby Ultra Dry Talla 3 (4-9 kg) 102 ud.,15.89,0.16,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD,
Ginebra Tanqueray 70 cl.,15.89,22.7,bebidas,alcoholes,Bodega,LITRO,TANQUERAY
Muslos de pato confitados Extra Carrefour 470 g.,15.85,33.72,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,CARREFOUR
Champú leche de avena Klorane 400 ml.,15.85,3.961,parafarmacia,cabello,Cuidado del cabello,100 ML,
Complemento alimenticio en cápsulas De Memory Study 30 ud.,15.85,31.701,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,
Ginebra Larios Rosé premium 70 cl.,15.85,0.0,bebidas,alcoholes,Bodega,No especificado,RIO
Champú al lino para cabello fino y falto de volumen ecológico Klorane 400 ml.,15.85,3.961,parafarmacia,cabello,Cuidado del cabello,100 ML,
Potenciador de lavado quitamanchas para ropa blanca en gel sin lejía Oxi Advanced Vanish 1500 ml.,15.85,10.57,limpieza y hogar,cuidado de la ropa,Cuidado facial y corporal,LITRO,
Beefeater Light Ginebra,15.85,22.64,bebidas,alcoholes,Bodega,LITRO,
"Mochila rana multiproductos para bebé Nenuco: agua de colonia 200 ml, champú 200 ml, jabón líquido 200 ml y leche hidratante 200 ml",15.85,15.85,parafarmacia,bebe,Bebé,UNIDAD,
Champú a la centaurea para cabello blanco o gris un brillo plateado ecológico Klorane 400 ml.,15.85,3.961,parafarmacia,cabello,Cuidado del cabello,100 ML,
Gel control imperfecciones CeraVe 40 ml.,15.79,39.471,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,100 ML,
Loción hidratante Cerave 473 ml.,15.79,3.341,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML,
Gamba pelada salvaje cruda congelada 53/88 piezas Grand Krust 600 g.,15.79,26.32,congelados,mariscos congelados,Cuidado facial y corporal,KILO,GRAND KRUST
Licor de café Tia Maria 70 cl.,15.78,22.54,bebidas,licores y cremas,"Cacao, café e infusiones",LITRO,REA
Crema protector solar niños FP50+ Protege & Cuida Kids Nivea Sun 200 ml.,15.75,7.871,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Spray protector solar FP30 Protege & Hidrata Nivea Sun 270 ml.,15.75,5.831,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Pañales Dodot Pro Sensitive T1 (2-5 kg.) 38 ud.,15.65,0.41,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD,
Viña Pomal Tinto Reserva 2017,15.65,15.65,bebidas,vinos,Bodega,UNIDAD,POMAL EMB
Pants Pull-Ups niña Huggies T6 (15-23 kg) 28 ud.,15.59,0.56,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD,
Spray protector solar FP20 Protege & Hidrata Nivea Sun 270 ml.,15.59,5.771,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Colutorio par el mal aliento Halita 500 ml.,15.59,3.121,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML,
Spray protector solar niños FP50+ Protege & Cuida Kids Nivea Sun 270 ml.,15.59,5.771,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
